name,orgnr,email,website,city,gatuadress,postadress,postnummer,postort,full_address,lat,lon,sate_clean,registrerad_datum,registrerad_datum_sort,registrerad_ar,arbetsgivare,f_skatt,moms,fordon_antal,har_fordon,sni,sni_text_clean,sni_antal,bolagsform,status,SNI1,SNI1_text,SNI2,SNI2_text,SNI3,SNI3_text,SNI4,SNI4_text,SNI5,SNI5_text,status_clean,registrerad_datum_clean,sni_kod_clean
Jönköpingspolisens Pensionärsförening,8260020469,gunnar.lindelow@gmail.com,https://www.jppf.se/,Jönköping,Aspholmsgatan 13 lgh 1202,553 23 Jönköping,55323,Jönköping,"Aspholmsgatan 13 lgh 1202, 55323, Jönköping, Sweden",,,"Jönköping, Jönköpings län",2000-03-14,2000-03-14,2000.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2000-03-14,94990
Jönköpingspolisens Skytte- och Idrottsförening,8260009835,johan.axell@polisen.se,,Jönköping,Box 618,551 18 Jönköping,55118,Jönköping,"Box 618, 55118, Jönköping, Sweden",,,"Jönköping, Jönköpings län",1979-01-01,1979-01-01,1979.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,1979-01-01,93120
Jöransbergs Byalag IF,8260022028,joransbergsbyalag@gmail.com,joransbergsbyalag.se,Huskvarna,Aspvägen 7,561 38 Huskvarna,56138,Huskvarna,"Aspvägen 7, 56138, Huskvarna, Sweden",57.7716707,14.2955276,"Jönköping, Jönköpings län",2002-02-18,2002-02-18,2002.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2002-02-18,94990
Kafé Sokrates i Jönköping,8024911813,kafesokrates@gmail.com,,,von Platensgatan 1,553 13 Jönköping,55313,Jönköping,"von Platensgatan 1, 55313, Jönköping, Sweden",57.7859612,14.1468422,"Jönköping, Jönköpings län",2014-10-23,2014-10-23,2014.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2014-10-23,94990
Kaldeiska Föreningen,8260019339,zahergorgees1975@hotmail.com,,Jönköping,Östra Storgatan 79,553 21 Jönköping,55321,Jönköping,"Östra Storgatan 79, 55321, Jönköping, Sweden",57.7823228,14.1728895,"Jönköping, Jönköpings län",1998-03-26,1998-03-26,1998.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1998-03-26,94990
Kaldeiska Idrottsföreningen,8025045587,taeser_issac@yahoo.com,,Jönköping,Östra Storgatan 79,553 21 Jönköping,55321,Jönköping,"Östra Storgatan 79, 55321, Jönköping, Sweden",57.7823228,14.1728895,"Jönköping, Jönköpings län",2016-09-29,2016-09-29,2016.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,2016-09-29,93120
Kamratföreningen Smålandsartillerister,8260002400,ordforanden.a6kamrat@outlook.com,www.a6kamrat.se,Tenhult,Hult 10 Lunden,561 63 Tenhult,56163,Tenhult,"Hult 10 Lunden, 56163, Tenhult, Sweden",,,"Jönköping, Jönköpings län",1971-01-01,1971-01-01,1971.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1971-01-01,94990
KDU Jönköping,8260007102,jonkoping@kdu.se,,Jönköping,,,,,Sweden,59.6749712,14.5208584,,,,,,,,0,Nej,,,0,,,,,,,,,,,,,,,
Kenpo Självförsvarsstudio Jönköping,8025114086,mattias.c.bodin@gmail.com,,Jönköping,Gjuterigatan 8 D,553 18 Jönköping,55318,Jönköping,"Gjuterigatan 8 D, 55318, Jönköping, Sweden",57.7794278,14.1618519,"Jönköping, Jönköpings län",2017-09-28,2017-09-28,2017.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,2017-09-28,93120
KFUM Jönköping,8260001816,info@kfum.org,jonkoping.kfum.se,Jönköping,Huskvarnavägen 38,554 54 Jönköping,55454,Jönköping,"Huskvarnavägen 38, 55454, Jönköping, Sweden",57.7849793,14.2278214,"Jönköping, Jönköpings län",1971-01-01,1971-01-01,1971.0,Ja,Nej,Nej,3,Ja,88994,Humanitära insatser,2,Ideell förening,Aktiv,88994,Humanitära insatser,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler",,,,,,,Aktiv,1971-01-01,88994
Kingpin Grappling Academy IF,8025035802,info@kingpingrappling.se,,Jönköping,Strandängsgatan 7 C lgh 1103,553 09 Jönköping,55309,Jönköping,"Strandängsgatan 7 C lgh 1103, 55309, Jönköping, Sweden",,,"Jönköping, Jönköpings län",2016-07-21,2016-07-21,2016.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,2016-07-21,93120
Kommunistiska partiet,8260010551,jonkoping@kommunisterna.org,www.kommunisterna.org/jonkoping,Jönköping,,,,,Sweden,59.6749712,14.5208584,,,,,,,,0,Nej,,,0,,,,,,,,,,,,,,,
Konsthantverkarna i Jönköping,8260021376,info@koij.se,www.koij.se,Jönköping,Smedjegatan 22,553 20 Jönköping,55320,Jönköping,"Smedjegatan 22, 55320, Jönköping, Sweden",57.7818099,14.1731829,"Jönköping, Jönköpings län",2001-06-06,2001-06-06,2001.0,Nej,Ja,Ja,0,Nej,47789,Övrig specialiserad detaljhandel,1,Ideell förening,Aktiv,47789,Övrig specialiserad detaljhandel,,,,,,,,,Aktiv,2001-06-06,47789
Konstnärsföreningen Dymlingen / Konstnärshuset Svavel,8024502208,gittan@elindesign.com,www.konstnarshusetsvavel.se,Jönköping,Hillinge 27,561 91 Huskvarna,56191,Huskvarna,"Hillinge 27, 56191, Huskvarna, Sweden",57.7918701,14.2739261,"Jönköping, Jönköpings län",2010-01-28,2010-01-28,2010.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2010-01-28,94990
Korpföreningen Jönköping,8260007961,info@korpenjonkoping.se,Korpenjonkoping.se,Jönköping,Box 485,551 16 Jönköping,55116,Jönköping,"Box 485, 55116, Jönköping, Sweden",,,"Jönköping, Jönköpings län",1975-01-01,1975-01-01,1975.0,Ja,Ja,Nej,0,Nej,93199,Annan sportverksamhet,1,Ideell förening,Aktiv,93199,Annan sportverksamhet,,,,,,,,,Aktiv,1975-01-01,93199
Kristdemokraterna Jönköpings Kommun,8260020345,brev.jkpg@kristdemokrat.se,,Jönköping,Kyrkogatan 14 bv,553 16 Jönköping,55316,Jönköping,"Kyrkogatan 14 bv, 55316, Jönköping, Sweden",57.7808059,14.1635549,"Jönköping, Jönköpings län",2000-02-02,2000-02-02,2000.0,Ja,Nej,Nej,0,Nej,94920,Verksamhet i politiska organisationer,1,Ideell förening,Aktiv,94920,Verksamhet i politiska organisationer,,,,,,,,,Aktiv,2000-02-02,94920
Kristina Scoutkår,8260014678,patrik@wandin.com,https://kristinascoutkar.scout.se/,Jönköping,Kanalgatan 35,553 22 Jönköping,55322,Jönköping,"Kanalgatan 35, 55322, Jönköping, Sweden",57.7811227,14.1838705,"Jönköping, Jönköpings län",1991-01-15,1991-01-15,1991.0,Nej,Nej,Nej,1,Ja,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1991-01-15,94990
Kultur & Knas,8025485221,kulturochknas@gmail.com,,Månsarp,Präststigen 11,562 91 Månsarp,56291,Månsarp,"Präststigen 11, 56291, Månsarp, Sweden",57.6535457,14.0688219,"Jönköping, Jönköpings län",2024-09-13,2024-09-13,2024.0,Nej,Nej,Nej,0,Nej,90200,Scenkonst,1,Ideell förening,Aktiv,90200,Scenkonst,,,,,,,,,Aktiv,2024-09-13,90200
Kultur och Sportföreningen BANAT,8260019701,banatjkpg@gmail.com,KSF Banat-Facebook sida,Jönköping,Norra Strandgatan 42,553 20 Jönköping,55320,Jönköping,"Norra Strandgatan 42, 55320, Jönköping, Sweden",57.7834972,14.1717057,"Jönköping, Jönköpings län",1998-10-08,1998-10-08,1998.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1998-10-08,94990
Kulturföreningen Sticket,8024309570,,,,Ulfsparregatan 39,553 22 Jönköping,55322,Jönköping,"Ulfsparregatan 39, 55322, Jönköping, Sweden",57.7804717,14.1839498,"Jönköping, Jönköpings län",2006-03-02,2006-03-02,2006.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2006-03-02,94990
Kungsportens Friskvård,8024500004,friskvard@kungsporten.com,,Huskvarna,,,,,Sweden,59.6749712,14.5208584,,,,,,,,0,Nej,,,0,,,,,,,,,,,,,,,
Kungsportskyrkans Barn och Ungdom,8260003648,info@kungsporten.com,,Huskvarna,Kungsängsvägen 25,561 51 Huskvarna,56151,Huskvarna,"Kungsängsvägen 25, 56151, Huskvarna, Sweden",57.7822766,14.2597845,"Jönköping, Jönköpings län",1971-01-01,1971-01-01,1971.0,Ja,Ja,Ja,0,Nej,94910,Verksamhet i religiösa samfund,2,Ideell förening,Aktiv,94910,Verksamhet i religiösa samfund,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler",,,,,,,Aktiv,1971-01-01,94910
Kurdistans Kulturförening,8260019941,Harman.mozori@outlook.com,,Huskvarna,Sjöåkravägen 5,564 31 Bankeryd,56431,Bankeryd,"Sjöåkravägen 5, 56431, Bankeryd, Sweden",57.8615814,14.1253604,"Jönköping, Jönköpings län",1999-04-02,1999-04-02,1999.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1999-04-02,94990
Kurdköping FF,8025411508,harman.mozori@outlook.com,,Huskvarna,Tormenåsgatan 22,561 41 Huskvarna,56141,Huskvarna,"Tormenåsgatan 22, 56141, Huskvarna, Sweden",57.7847445,14.2829024,"Jönköping, Jönköpings län",2022-10-28,2022-10-28,2022.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,2022-10-28,93120
Lekeryds Gymnastikförening,8260021756,linawilen@hotmail.com,,Forserum,Östra Höreda 16,571 97 Forserum,57197,Forserum,"Östra Höreda 16, 57197, Forserum, Sweden",,,"Jönköping, Jönköpings län",2002-02-04,2002-02-04,2002.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,2002-02-04,93120
Lekeryds Hembygdsförening,8260013134,marita@twinsredovisning.se,https://www.hembygd.se/lekeryds-hembygdsf-rening,Lekeryd,Granebergsvägen 3,561 96 Lekeryd,56196,Lekeryd,"Granebergsvägen 3, 56196, Lekeryd, Sweden",,,"Jönköping, Jönköpings län",1987-08-20,1987-08-20,1987.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1987-08-20,94990
Lekeryds Missionsförsamlings Ungdom,8260012425,lmu@lekerydsmissionskyrka.se,,Lekeryd,,,,,Sweden,59.6749712,14.5208584,,,,,,,,0,Nej,,,0,,,,,,,,,,,,,,,
Lekeryd-Svarttorps Sportklubb,8260011807,lekeryd.svarttorp.sportklubb@gmail.com,www.lssk.nu,Lekeryd,Idrottsvägen,561 95 Lekeryd,56195,Lekeryd,"Idrottsvägen, 56195, Lekeryd, Sweden",57.7745273,14.4245466,"Jönköping, Jönköpings län",1984-09-02,1984-09-02,1984.0,Ja,Nej,Nej,2,Ja,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,1984-09-02,93120
Libanesiska föreningen i Jönköping,8260021251,mehdinasser@live.se,,Huskvarna,Stekelvägen 13,561 48 Huskvarna,56148,Huskvarna,"Stekelvägen 13, 56148, Huskvarna, Sweden",57.7680054,14.2687896,"Jönköping, Jönköpings län",2001-05-05,2001-05-05,2001.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2001-05-05,94990
Liberala Ungdomsförbundet,8024965314,jonkoping@luf.se,,Jönköping,Kyrkogatan 20,553 16 Jönköping,55316,Jönköping,"Kyrkogatan 20, 55316, Jönköping, Sweden",57.7808059,14.1635549,"Jönköping, Jönköpings län",2015-08-06,2015-08-06,2015.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2015-08-06,94990
Lindy Hop Jönköping,8024935622,styrelsen.lindyhopjkpg@gmail.com,,,Oxelgatan 17 lgh 1701,554 58 Jönköping,55458,Jönköping,"Oxelgatan 17 lgh 1701, 55458, Jönköping, Sweden",,,"Jönköping, Jönköpings län",2015-02-26,2015-02-26,2015.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2015-02-26,94990
Lions Club Bankeryd,8260012284,,,Bankeryd,Fabriksvägen 10,564 35 Bankeryd,56435,Bankeryd,"Fabriksvägen 10, 56435, Bankeryd, Sweden",57.8710274,14.1143043,"Jönköping, Jönköpings län",1985-10-15,1985-10-15,1985.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1985-10-15,94990
Lions Club Jönköping,8260009751,lcjkpg@gmail.com,,Jönköping,,,,,Sweden,59.6749712,14.5208584,,,,,,,,0,Nej,,,0,,,,,,,,,,,,,,,
Livets Ord i Jönköping,8260020675,info@livetsordjonkoping.se,,Jönköping,Gråbogatan 1,561 43 Huskvarna,56143,Huskvarna,"Gråbogatan 1, 56143, Huskvarna, Sweden",57.7818969,14.2731906,"Jönköping, Jönköpings län",2000-07-11,2000-07-11,2000.0,Ja,Nej,Nej,0,Nej,94910,Verksamhet i religiösa samfund,1,Fond eller stiftelse,Aktiv,94910,Verksamhet i religiösa samfund,,,,,,,,,Aktiv,2000-07-11,94910
Ljungarumsskolans Skol-IF,8024540950,robert.dahlgren@jonkoping.se,,Jönköping,Värnamovägen 1,553 39 Jönköping,55339,Jönköping,"Värnamovägen 1, 55339, Jönköping, Sweden",57.7537277,14.1541308,"Jönköping, Jönköpings län",2010-08-19,2010-08-19,2010.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,2010-08-19,93120
Lokalföreningen Parkinson Jönköping,8260022853,Janos.l.dios@gmail.com,,Jönköping,Pengabergsvägen 71,562 42 Taberg,56242,Taberg,"Pengabergsvägen 71, 56242, Taberg, Sweden",,,"Jönköping, Jönköpings län",2003-01-13,2003-01-13,2003.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2003-01-13,94990
Lärande och kommunikation studerandeförening,8024603097,ordforande.lok@js.ju.se,,Jönköping,Gjuterigatan 3 C,551 11 Jönköping,55111,Jönköping,"Gjuterigatan 3 C, 55111, Jönköping, Sweden",57.7794278,14.1618519,"Jönköping, Jönköpings län",2011-05-26,2011-05-26,2011.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2011-05-26,94990
Makers Jönköping,8025084297,arvind.shah@makejkpg.se,makejkpg.se,Huskvarna,Östra Storgatan 101 A,554 52 Jönköping,55452,Jönköping,"Östra Storgatan 101 A, 55452, Jönköping, Sweden",57.7813868,14.1918062,"Jönköping, Jönköpings län",2017-04-20,2017-04-20,2017.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2017-04-20,94990
Manskören SB Jönköping,8024601265,oloknutsson39@gmail.com,www.sbjkpg.se,Jönköping,,,,,Sweden,59.6749712,14.5208584,,,,,,,,0,Nej,,,0,,,,,,,,,,,,,,,
Marbles,8025196737,marblesjonkoping@gmail.com,,jönköping,Barnarpsgatan 123,553 30 Jönköping,55330,Jönköping,"Barnarpsgatan 123, 55330, Jönköping, Sweden",57.7691372,14.1546238,"Jönköping, Jönköpings län",2018-11-01,2018-11-01,2018.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2018-11-01,94990
Mariebo IK,8260002822,kansli@marieboik.org,www.laget.se/marieboik,Jönköping,Sprängkullevägen 10,554 46 Jönköping,55446,Jönköping,"Sprängkullevägen 10, 55446, Jönköping, Sweden",57.7779977,14.1316672,"Jönköping, Jönköpings län",1971-01-01,1971-01-01,1971.0,Ja,Nej,Nej,3,Ja,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,1971-01-01,93120
Match Town Square Dancers,8260014066,helen@stenhager.se,www.mtsd.se,Jönköping,Fortunagatan 30 lgh 1303,553 23 Jönköping,55323,Jönköping,"Fortunagatan 30 lgh 1303, 55323, Jönköping, Sweden",,,"Jönköping, Jönköpings län",1989-10-15,1989-10-15,1989.0,Nej,Nej,Nej,0,Nej,93290,Övrig fritids- och nöjesverksamhet,1,Ideell förening,Aktiv,93290,Övrig fritids- och nöjesverksamhet,,,,,,,,,Aktiv,1989-10-15,93290
Medborgarskolan Region Öst,8260008209,fanny.volmerdal@medborgarskolan.se,www.medborgarskolan.se,Stockholm,Box 515,551 17 Jönköping,55117,Jönköping,"Box 515, 55117, Jönköping, Sweden",,,"Jönköping, Jönköpings län",1975-01-01,1975-01-01,1975.0,Ja,Ja,Ja,2,Ja,85593,Studieförbundens och frivilligorganisationernas utbildning,2,Ideell förening,Aktiv,85593,Studieförbundens och frivilligorganisationernas utbildning,85100,Förskoleutbildning,,,,,,,Aktiv,1975-01-01,85593
Medeltidsföreningen Juneborg,8260020444,maria.markenroth.nordstrom@gmail.com,juneborg.nordmark.org,Jönköping,Lövkojestigen 5,554 56 Jönköping,55456,Jönköping,"Lövkojestigen 5, 55456, Jönköping, Sweden",57.7790815,14.23035,"Jönköping, Jönköpings län",2000-03-14,2000-03-14,2000.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2000-03-14,94990
Minopera,8025129589,info@minopera.se,,Norrahammar,Västra Källängsvägen 5,562 32 Norrahammar,56232,Norrahammar,"Västra Källängsvägen 5, 56232, Norrahammar, Sweden",57.706786,14.125916,"Jönköping, Jönköpings län",2017-12-07,2017-12-07,2017.0,Ja,Ja,Nej,1,Ja,90200,Scenkonst,1,Ideell förening,Aktiv,90200,Scenkonst,,,,,,,,,Aktiv,2017-12-07,90200
Mission och Väckelse,8025219216,missionochvackelse@gmail.com,,Jönköping,Svavelsticksgränd 7-9,553 15 Jönköping,55315,Jönköping,"Svavelsticksgränd 7-9, 55315, Jönköping, Sweden",57.7853708,14.156038,"Jönköping, Jönköpings län",2019-02-14,2019-02-14,2019.0,Nej,Nej,Nej,0,Nej,90200,Scenkonst,1,Ideell förening,Aktiv,90200,Scenkonst,,,,,,,,,Aktiv,2019-02-14,90200
Moderata ungdomsförbundet,8025458756,sam.kharazmi@moderaterna.se,,Jönköping,Kungsgatan 8 A,553 18 Jönköping,55318,Jönköping,"Kungsgatan 8 A, 55318, Jönköping, Sweden",57.7784056,14.158278,"Jönköping, Jönköpings län",2024-01-19,2024-01-19,2024.0,Nej,Nej,Nej,0,Nej,94920,Verksamhet i politiska organisationer,1,Ideell förening,Aktiv,94920,Verksamhet i politiska organisationer,,,,,,,,,Aktiv,2024-01-19,94920
MTU Huvistuudio ÖHIN,9999999999,lilian@kullo.ee,,Lagedi Rae vald,,,,,Sweden,59.6749712,14.5208584,,,,,,,,0,Nej,,,0,,,,,,,,,,,,,,,
Mullsjö Idrottsförening,8672002378,mullsjoif@hotmail.com,,Tidaholm,Baremossö gård,522 91 Tidaholm,52291,Tidaholm,"Baremossö gård, 52291, Tidaholm, Sweden",,,"Mullsjö, Jönköpings län",1971-01-01,1971-01-01,1971.0,Ja,Nej,Nej,1,Ja,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,1971-01-01,93120
Mulseryds Hembygdsförening,8260004968,mulseryd.hembygd@outlook.com,https://www.hembygd.se/mulseryds,Bottnaryd,Ryd Lyckorna 2,565 97 Bottnaryd,56597,Bottnaryd,"Ryd Lyckorna 2, 56597, Bottnaryd, Sweden",57.7695139,13.8261337,"Jönköping, Jönköpings län",1971-01-01,1971-01-01,1971.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1971-01-01,94990
Mulseryds Skyttegille,8260016665,petracarlsson69@gmail.com,,Bottnaryd,Ryd,565 97 Bottnaryd,56597,Bottnaryd,"Ryd, 56597, Bottnaryd, Sweden",57.7695139,13.8261337,"Jönköping, Jönköpings län",1993-08-20,1993-08-20,1993.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,1993-08-20,93120
Musik & Teatervänner Riksteatern Jönköping,8260012128,liisa.sulin-elmqvist@telia.com,riksteatern.se/jonkoping,Jönköping,Box 683,551 19 Jönköping,55119,Jönköping,"Box 683, 55119, Jönköping, Sweden",,,"Jönköping, Jönköpings län",1985-05-28,1985-05-28,1985.0,Nej,Ja,Ja,0,Nej,90200,Scenkonst,2,Ideell förening,Aktiv,90200,Scenkonst,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,Aktiv,1985-05-28,90200
Musikföreningen JS,8024764246,hans.wallgren@gmail.com,,Huskvarna,Skolgatan 35,561 35 Huskvarna,56135,Huskvarna,"Skolgatan 35, 56135, Huskvarna, Sweden",57.789251,14.2915392,"Jönköping, Jönköpings län",2014-01-23,2014-01-23,2014.0,Nej,Nej,Nej,0,Nej,90200,Scenkonst,1,Ideell förening,Aktiv,90200,Scenkonst,,,,,,,,,Aktiv,2014-01-23,90200
Muslimska systrar Jönköping,802547-7400,systrarjkpg@hotmail.com,,,Föreningsgatan 7 A,553 21 Jönköping,55321,Jönköping,"Föreningsgatan 7 A, 55321, Jönköping, Sweden",57.7808768,14.1889799,"Jönköping, Jönköpings län",2024-06-14,2024-06-14,2024.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2024-06-14,94990
Månsarps IF,8260002954,Ekonomi@mansarpsif.se,www.mansarpsif.se,Månsarp,Smörviksvägen 10,562 50 Månsarp,56250,Månsarp,"Smörviksvägen 10, 56250, Månsarp, Sweden",57.6530226,14.0619792,"Jönköping, Jönköpings län",1971-01-01,1971-01-01,1971.0,Nej,Nej,Nej,4,Ja,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,1971-01-01,93120
Månsarps Innebandyklubb,8260016202,mansarpsibk@gmail.com,laget.se/mansarpsibk,Månsarp,Karlslundsgatan 10,562 50 Månsarp,56250,Månsarp,"Karlslundsgatan 10, 56250, Månsarp, Sweden",57.6512973,14.0672413,"Jönköping, Jönköpings län",1992-11-18,1992-11-18,1992.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,1992-11-18,93120
Månsarps Missionsförsamling,8260002962,elisabet.johansson.ej@gmail.com,,Månsarp,Väpplingstigen 111,562 41 Taberg,56241,Taberg,"Väpplingstigen 111, 56241, Taberg, Sweden",,,"Jönköping, Jönköpings län",1971-01-01,1971-01-01,1971.0,Ja,Nej,Nej,0,Nej,94910,Verksamhet i religiösa samfund,1,Ideell förening,Aktiv,94910,Verksamhet i religiösa samfund,,,,,,,,,Aktiv,1971-01-01,94910
Månsarps Scoutkår,8260009728,stefanlindberg78@gmail.com,www.mansarp.scout.se,Taberg,Bergslagsvägen 11,562 42 Taberg,56242,Taberg,"Bergslagsvägen 11, 56242, Taberg, Sweden",57.6801664,14.0890771,"Jönköping, Jönköpings län",1979-01-01,1979-01-01,1979.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1979-01-01,94990
Månsarp-Taberg RPG,8025278030,rolf.gabrielson@gmail.com,,Taberg,Palmbergsvägen 4,562 41 Taberg,56241,Taberg,"Palmbergsvägen 4, 56241, Taberg, Sweden",57.6753772,14.0854775,"Jönköping, Jönköpings län",2019-12-13,2019-12-13,2019.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2019-12-13,94990
